Iteracao,Prob_Manter,Prob_Trocar
1,1.000000,0.000000
2,0.500000,0.500000
3,0.333333,0.666667
4,0.250000,0.750000
5,0.400000,0.600000
6,0.333333,0.666667
7,0.285714,0.714286
8,0.375000,0.625000
9,0.444444,0.555556
10,0.400000,0.600000
11,0.454545,0.545455
12,0.416667,0.583333
13,0.384615,0.615385
14,0.357143,0.642857
15,0.333333,0.666667
16,0.312500,0.687500
17,0.352941,0.647059
18,0.333333,0.666667
19,0.368421,0.631579
20,0.400000,0.600000
21,0.428571,0.571429
22,0.409091,0.590909
23,0.434783,0.565217
24,0.416667,0.583333
25,0.440000,0.560000
26,0.423077,0.576923
27,0.407407,0.592593
28,0.428571,0.571429
29,0.413793,0.586207
30,0.433333,0.566667
31,0.419355,0.580645
32,0.437500,0.562500
33,0.424242,0.575758
34,0.411765,0.588235
35,0.400000,0.600000
36,0.388889,0.611111
37,0.378378,0.621622
38,0.368421,0.631579
39,0.384615,0.615385
40,0.375000,0.625000
41,0.365854,0.634146
42,0.380952,0.619048
43,0.372093,0.627907
44,0.386364,0.613636
45,0.377778,0.622222
46,0.369565,0.630435
47,0.361702,0.638298
48,0.354167,0.645833
49,0.346939,0.653061
50,0.340000,0.660000
51,0.352941,0.647059
52,0.346154,0.653846
53,0.339623,0.660377
54,0.333333,0.666667
55,0.327273,0.672727
56,0.321429,0.678571
57,0.333333,0.666667
58,0.327586,0.672414
59,0.322034,0.677966
60,0.333333,0.666667
61,0.344262,0.655738
62,0.338710,0.661290
63,0.333333,0.666667
64,0.328125,0.671875
65,0.323077,0.676923
66,0.333333,0.666667
67,0.328358,0.671642
68,0.323529,0.676471
69,0.318841,0.681159
70,0.314286,0.685714
71,0.323944,0.676056
72,0.333333,0.666667
73,0.328767,0.671233
74,0.324324,0.675676
75,0.320000,0.680000
76,0.328947,0.671053
77,0.324675,0.675325
78,0.320513,0.679487
79,0.316456,0.683544
80,0.312500,0.687500
81,0.308642,0.691358
82,0.317073,0.682927
83,0.313253,0.686747
84,0.309524,0.690476
85,0.305882,0.694118
86,0.313953,0.686047
87,0.310345,0.689655
88,0.306818,0.693182
89,0.303371,0.696629
90,0.300000,0.700000
91,0.307692,0.692308
92,0.304348,0.695652
93,0.301075,0.698925
94,0.297872,0.702128
95,0.294737,0.705263
96,0.291667,0.708333
97,0.298969,0.701031
98,0.295918,0.704082
99,0.292929,0.707071
100,0.300000,0.700000
101,0.306931,0.693069
102,0.313725,0.686275
103,0.320388,0.679612
104,0.326923,0.673077
105,0.323810,0.676190
106,0.320755,0.679245
107,0.327103,0.672897
108,0.324074,0.675926
109,0.330275,0.669725
110,0.336364,0.663636
111,0.333333,0.666667
112,0.330357,0.669643
113,0.327434,0.672566
114,0.324561,0.675439
115,0.321739,0.678261
116,0.327586,0.672414
117,0.333333,0.666667
118,0.330508,0.669492
119,0.327731,0.672269
120,0.325000,0.675000
121,0.330579,0.669421
122,0.327869,0.672131
123,0.333333,0.666667
124,0.338710,0.661290
125,0.336000,0.664000
126,0.333333,0.666667
127,0.330709,0.669291
128,0.328125,0.671875
129,0.325581,0.674419
130,0.330769,0.669231
131,0.328244,0.671756
132,0.325758,0.674242
133,0.323308,0.676692
134,0.320896,0.679104
135,0.325926,0.674074
136,0.323529,0.676471
137,0.328467,0.671533
138,0.333333,0.666667
139,0.330935,0.669065
140,0.335714,0.664286
141,0.340426,0.659574
142,0.345070,0.654930
143,0.342657,0.657343
144,0.340278,0.659722
145,0.344828,0.655172
146,0.349315,0.650685
147,0.353741,0.646259
148,0.358108,0.641892
149,0.355705,0.644295
150,0.353333,0.646667
151,0.357616,0.642384
152,0.355263,0.644737
153,0.352941,0.647059
154,0.350649,0.649351
155,0.348387,0.651613
156,0.352564,0.647436
157,0.350318,0.649682
158,0.348101,0.651899
159,0.345912,0.654088
160,0.343750,0.656250
161,0.347826,0.652174
162,0.345679,0.654321
163,0.343558,0.656442
164,0.347561,0.652439
165,0.345455,0.654545
166,0.349398,0.650602
167,0.353293,0.646707
168,0.351190,0.648810
169,0.355030,0.644970
170,0.352941,0.647059
171,0.350877,0.649123
172,0.348837,0.651163
173,0.352601,0.647399
174,0.356322,0.643678
175,0.354286,0.645714
176,0.352273,0.647727
177,0.350282,0.649718
178,0.348315,0.651685
179,0.346369,0.653631
180,0.350000,0.650000
181,0.348066,0.651934
182,0.346154,0.653846
183,0.344262,0.655738
184,0.342391,0.657609
185,0.340541,0.659459
186,0.338710,0.661290
187,0.336898,0.663102
188,0.340426,0.659574
189,0.338624,0.661376
190,0.342105,0.657895
191,0.340314,0.659686
192,0.343750,0.656250
193,0.341969,0.658031
194,0.345361,0.654639
195,0.343590,0.656410
196,0.341837,0.658163
197,0.345178,0.654822
198,0.343434,0.656566
199,0.346734,0.653266
200,0.345000,0.655000
201,0.343284,0.656716
202,0.341584,0.658416
203,0.339901,0.660099
204,0.343137,0.656863
205,0.346341,0.653659
206,0.344660,0.655340
207,0.347826,0.652174
208,0.346154,0.653846
209,0.349282,0.650718
210,0.352381,0.647619
211,0.350711,0.649289
212,0.349057,0.650943
213,0.352113,0.647887
214,0.350467,0.649533
215,0.348837,0.651163
216,0.351852,0.648148
217,0.350230,0.649770
218,0.353211,0.646789
219,0.351598,0.648402
220,0.354545,0.645455
221,0.352941,0.647059
222,0.351351,0.648649
223,0.349776,0.650224
224,0.348214,0.651786
225,0.346667,0.653333
226,0.345133,0.654867
227,0.343612,0.656388
228,0.342105,0.657895
229,0.340611,0.659389
230,0.343478,0.656522
231,0.341991,0.658009
232,0.340517,0.659483
233,0.339056,0.660944
234,0.337607,0.662393
235,0.336170,0.663830
236,0.334746,0.665254
237,0.333333,0.666667
238,0.331933,0.668067
239,0.334728,0.665272
240,0.333333,0.666667
241,0.336100,0.663900
242,0.338843,0.661157
243,0.341564,0.658436
244,0.340164,0.659836
245,0.338776,0.661224
246,0.337398,0.662602
247,0.336032,0.663968
248,0.334677,0.665323
249,0.333333,0.666667
250,0.332000,0.668000
251,0.334661,0.665339
252,0.337302,0.662698
253,0.335968,0.664032
254,0.334646,0.665354
255,0.333333,0.666667
256,0.332031,0.667969
257,0.330739,0.669261
258,0.329457,0.670543
259,0.328185,0.671815
260,0.326923,0.673077
261,0.325670,0.674330
262,0.324427,0.675573
263,0.323194,0.676806
264,0.321970,0.678030
265,0.320755,0.679245
266,0.319549,0.680451
267,0.318352,0.681648
268,0.317164,0.682836
269,0.315985,0.684015
270,0.314815,0.685185
271,0.313653,0.686347
272,0.312500,0.687500
273,0.315018,0.684982
274,0.313869,0.686131
275,0.316364,0.683636
276,0.315217,0.684783
277,0.314079,0.685921
278,0.312950,0.687050
279,0.311828,0.688172
280,0.310714,0.689286
281,0.309609,0.690391
282,0.308511,0.691489
283,0.310954,0.689046
284,0.313380,0.686620
285,0.312281,0.687719
286,0.311189,0.688811
287,0.310105,0.689895
288,0.309028,0.690972
289,0.307958,0.692042
290,0.310345,0.689655
291,0.312715,0.687285
292,0.315068,0.684932
293,0.313993,0.686007
294,0.312925,0.687075
295,0.311864,0.688136
296,0.310811,0.689189
297,0.313131,0.686869
298,0.312081,0.687919
299,0.311037,0.688963
300,0.313333,0.686667
301,0.312292,0.687708
302,0.311258,0.688742
303,0.313531,0.686469
304,0.312500,0.687500
305,0.311475,0.688525
306,0.313725,0.686275
307,0.312704,0.687296
308,0.311688,0.688312
309,0.313916,0.686084
310,0.312903,0.687097
311,0.311897,0.688103
312,0.310897,0.689103
313,0.309904,0.690096
314,0.308917,0.691083
315,0.307937,0.692063
316,0.306962,0.693038
317,0.305994,0.694006
318,0.305031,0.694969
319,0.304075,0.695925
320,0.303125,0.696875
321,0.302181,0.697819
322,0.301242,0.698758
323,0.300310,0.699690
324,0.302469,0.697531
325,0.301538,0.698462
326,0.303681,0.696319
327,0.305810,0.694190
328,0.304878,0.695122
329,0.303951,0.696049
330,0.306061,0.693939
331,0.308157,0.691843
332,0.307229,0.692771
333,0.309309,0.690691
334,0.308383,0.691617
335,0.310448,0.689552
336,0.312500,0.687500
337,0.311573,0.688427
338,0.310651,0.689349
339,0.309735,0.690265
340,0.311765,0.688235
